,"label","color","shape","score","decision","comment"
0,"restriction ends overtaking trucks","red","triangle",0,"False","{""anomaly"": 0.0}<|eot_id|>"
1,"restriction ends overtaking trucks","red","circle",0,"False","{""anomaly"": 0.0}<|eot_id|>"
2,"restriction ends overtaking trucks","red","square",0.9999,"True","{""anomaly"": 0.9999}<|eot_id|>"
3,"restriction ends overtaking trucks","red","octagon",0.9,"True","{""anomaly"": 0.9}<|eot_id|>"
4,"restriction ends overtaking trucks","red","inverse_triangle",0.9,"True","{""anomaly"": 0.9}<|eot_id|>"
5,"restriction ends overtaking trucks","blue","triangle",0.9,"True","{""anomaly"": 0.9}<|eot_id|>"
6,"restriction ends overtaking trucks","blue","circle",0.9,"True","{""anomaly"": 0.9}<|eot_id|>"
7,"restriction ends overtaking trucks","blue","square",1,"True","{""anomaly"": 0.9999999999999999}<|eot_id|>"
8,"restriction ends overtaking trucks","blue","octagon",0.95,"True","{""anomaly"": 0.95}<|eot_id|>"
9,"restriction ends overtaking trucks","blue","inverse_triangle",0.9999,"True","{""anomaly"": 0.9999}<|eot_id|>"
10,"restriction ends overtaking trucks","yellow","triangle",0,"False","{""anomaly"": 0.0}<|eot_id|>"
11,"restriction ends overtaking trucks","yellow","circle",0,"False","{""anomaly"": 0.0}<|eot_id|>"
12,"restriction ends overtaking trucks","yellow","square",1,"True","{""anomaly"": 0.9999999999999999}<|eot_id|>"
13,"restriction ends overtaking trucks","yellow","octagon",0.9,"True","{""anomaly"": 0.9}<|eot_id|>"
14,"restriction ends overtaking trucks","yellow","inverse_triangle",0.9,"True","{""anomaly"": 0.9}<|eot_id|>"
15,"restriction ends overtaking trucks","white","triangle",0,"False","{""anomaly"": 0.0}<|eot_id|>"
16,"restriction ends overtaking trucks","white","circle",0,"False","{""anomaly"": 0.0}<|eot_id|>"
17,"restriction ends overtaking trucks","white","square",0.9999,"True","{""anomaly"": 0.9999}<|eot_id|>"
18,"restriction ends overtaking trucks","white","octagon",0.9,"True","{""anomaly"": 0.9}<|eot_id|>"
19,"restriction ends overtaking trucks","white","inverse_triangle",0.9,"True","{""anomaly"": 0.9}<|eot_id|>"
20,"uneven road","red","triangle",0,"False","{""anomaly"": 0.0}<|eot_id|>"
21,"uneven road","red","circle",0.95,"True","{""anomaly"": 0.95}<|eot_id|>"
